,PC (ë°©1)
96480,90.192
96768,180.73899999999998
97056,270.991
97344,361.998
97632,453.116
97920,543.8149999999999
98208,634.8399999999999
98496,726.014
98784,818.02
99072,909.4549999999999
99360,1000.8689999999999
99648,1091.4289999999999
99936,1183.7589999999998
100224,1275.2209999999998
100512,1367.0119999999997
100800,1457.083
101088,1549.7450000000001
101376,1640.4730000000002
101664,1731.332
101952,1823.0130000000001
102240,1913.8160000000003
102528,2005.1370000000002
102816,2098.242
103104,2190.034
103392,2281.4880000000003
103680,2371.8430000000003
103968,2464.166
104256,2556.1000000000004
104544,2649.1010000000006
104832,2741.3270000000007
